timestamp,bank_name,internet_banking,rtgs,neft,imps,upi,mobile_banking
2026-04-17 11:45:51,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-17 11:45:51,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-17 18:57:47,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,Axis Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,Canara Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,State Bank of India,UP,UP,UP,UP,UP,UP
2026-04-17 19:05:57,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
